wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0% 0/276 [00:00<?, ?it/s]Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.5797, 'grad_norm': 0.718412458896637, 'learning_rate': 3.3207643137118874e-05, 'epoch': 1.25}
{'loss': 0.4569, 'grad_norm': 0.7226877212524414, 'learning_rate': 3.265260203749525e-05, 'epoch': 1.26}
{'loss': 0.4892, 'grad_norm': 0.7467027306556702, 'learning_rate': 3.209998066150102e-05, 'epoch': 1.27}
{'loss': 0.617, 'grad_norm': 0.744791567325592, 'learning_rate': 3.1549856092224053e-05, 'epoch': 1.28}
{'loss': 0.5104, 'grad_norm': 0.754218339920044, 'learning_rate': 3.100230506448201e-05, 'epoch': 1.28}
{'loss': 0.5119, 'grad_norm': 0.7361443042755127, 'learning_rate': 3.0457403954118856e-05, 'epoch': 1.29}
{'loss': 0.5155, 'grad_norm': 0.719597339630127, 'learning_rate': 2.991522876735154e-05, 'epoch': 1.3}
{'loss': 0.4301, 'grad_norm': 0.7229983806610107, 'learning_rate': 2.9375855130168044e-05, 'epoch': 1.3}
{'loss': 0.328, 'grad_norm': 0.6936900615692139, 'learning_rate': 2.8839358277778755e-05, 'epoch': 1.31}
{'loss': 0.4414, 'grad_norm': 0.7283845543861389, 'learning_rate': 2.8305813044122097e-05, 'epoch': 1.32}
{'loss': 0.4794, 'grad_norm': 0.6762439012527466, 'learning_rate': 2.7775293851426232e-05, 'epoch': 1.33}
{'loss': 0.4249, 'grad_norm': 0.6558724045753479, 'learning_rate': 2.7247874699828185e-05, 'epoch': 1.33}
{'loss': 0.5286, 'grad_norm': 0.6662911772727966, 'learning_rate': 2.6723629157051844e-05, 'epoch': 1.34}
{'loss': 0.3714, 'grad_norm': 0.7014908194541931, 'learning_rate': 2.6202630348146324e-05, 'epoch': 1.35}
{'loss': 0.608, 'grad_norm': 0.7021386623382568, 'learning_rate': 2.5684950945285935e-05, 'epoch': 1.36}
{'loss': 0.4582, 'grad_norm': 0.7054073810577393, 'learning_rate': 2.5170663157633477e-05, 'epoch': 1.36}
{'loss': 0.4894, 'grad_norm': 0.7353017330169678, 'learning_rate': 2.4659838721268004e-05, 'epoch': 1.37}
{'loss': 0.5631, 'grad_norm': 0.7642591595649719, 'learning_rate': 2.4152548889178722e-05, 'epoch': 1.38}
{'loss': 0.439, 'grad_norm': 0.7536165714263916, 'learning_rate': 2.364886442132606e-05, 'epoch': 1.38}
{'loss': 0.5248, 'grad_norm': 0.8949523568153381, 'learning_rate': 2.3148855574771704e-05, 'epoch': 1.39}
{'loss': 0.4402, 'grad_norm': 0.7952800393104553, 'learning_rate': 2.2652592093878666e-05, 'epoch': 1.4}
{'loss': 0.5196, 'grad_norm': 0.8078566193580627, 'learning_rate': 2.2160143200582907e-05, 'epoch': 1.41}
{'loss': 0.4211, 'grad_norm': 0.7446545362472534, 'learning_rate': 2.16715775847379e-05, 'epoch': 1.41}
{'loss': 0.5294, 'grad_norm': 0.7196308374404907, 'learning_rate': 2.1186963394533165e-05, 'epoch': 1.42}
